Postcode,Car travel time to whiteknights,Public transport time to whiteknights,Walking to whiteknights
RG1 1DB,"4.2 km , 10 mins","3.3 km , 13 mins","3.0 km , 38 mins"
RG1 1DG,"4.2 km , 10 mins","3.3 km , 13 mins","3.1 km , 38 mins"
RG1 1DP,"4.2 km , 10 mins","3.8 km , 14 mins","3.2 km , 39 mins"
RG1 1DX,"4.2 km , 10 mins","3.7 km , 24 mins","3.2 km , 40 mins"
RG1 1EG,"5.8 km , 14 mins","3.6 km , 22 mins","3.3 km , 41 mins"
RG1 1EL,"5.1 km , 11 mins","4.0 km , 17 mins","3.4 km , 42 mins"
RG1 1EP,"4.3 km , 10 mins","3.8 km , 15 mins","3.3 km , 41 mins"
RG1 1EQ,"5.8 km , 14 mins","3.6 km , 22 mins","3.3 km , 41 mins"
RG1 1ET,"5.7 km , 13 mins","3.6 km , 23 mins","3.2 km , 40 mins"
RG1 1EU,"4.2 km , 10 mins","3.8 km , 15 mins","3.2 km , 39 mins"
RG1 1LD,"4.1 km , 9 mins","3.4 km , 14 mins","3.1 km , 39 mins"
RG1 1LG,"4.1 km , 9 mins","3.4 km , 14 mins","3.1 km , 39 mins"
RG1 1NA,"5.6 km , 13 mins","4.1 km , 18 mins","3.5 km , 44 mins"
RG1 1NF,"5.7 km , 13 mins","3.6 km , 21 mins","3.2 km , 40 mins"
RG1 1NS,"5.6 km , 13 mins","4.1 km , 18 mins","3.5 km , 44 mins"
RG1 1NT,"5.7 km , 13 mins","4.0 km , 17 mins","3.5 km , 43 mins"
RG1 1NX,"5.1 km , 11 mins","4.1 km , 19 mins","3.5 km , 44 mins"
RG1 1NY,"5.6 km , 13 mins","4.1 km , 18 mins","3.5 km , 44 mins"
RG1 1NZ,"5.6 km , 13 mins","4.1 km , 18 mins","3.5 km , 44 mins"
RG1 1PA,"5.4 km , 12 mins","4.1 km , 18 mins","3.5 km , 43 mins"
RG1 1PB,"5.5 km , 13 mins","4.1 km , 18 mins","3.5 km , 44 mins"
RG1 1PD,"5.5 km , 13 mins","4.2 km , 19 mins","3.5 km , 44 mins"
RG1 1PJ,"4.3 km , 11 mins","3.4 km , 14 mins","3.1 km , 38 mins"
RG1 1QB,"3.9 km , 9 mins","3.4 km , 14 mins","3.1 km , 38 mins"
RG1 1SB,"3.8 km , 8 mins","3.5 km , 14 mins","3.0 km , 38 mins"
RG1 1SN,"4.2 km , 10 mins","3.4 km , 14 mins","3.0 km , 38 mins"
RG1 1ST,"4.2 km , 10 mins","3.3 km , 13 mins","3.0 km , 38 mins"
RG1 1TG,"4.1 km , 10 mins","3.4 km , 14 mins","3.1 km , 38 mins"
RG1 1TT,"5.2 km , 12 mins","4.3 km , 18 mins","3.3 km , 41 mins"
RG1 2AP,"4.4 km , 12 mins","4.3 km , 18 mins","3.3 km , 41 mins"
RG1 2AR,"4.4 km , 11 mins","3.8 km , 21 mins","3.0 km , 37 mins"
RG1 2BG,"4.8 km , 12 mins","4.4 km , 27 mins","3.3 km , 41 mins"
RG1 2BH,"4.1 km , 10 mins","3.3 km , 13 mins","2.9 km , 36 mins"
RG1 2EA,"4.0 km , 9 mins","3.1 km , 12 mins","2.8 km , 35 mins"
RG1 2GU,"5.6 km , 12 mins","3.7 km , 20 mins","2.7 km , 33 mins"
RG1 2GW,"5.6 km , 12 mins","3.7 km , 20 mins","2.7 km , 33 mins"
RG1 2HF,"4.0 km , 10 mins","3.3 km , 13 mins","2.9 km , 36 mins"
RG1 2HG,"4.0 km , 10 mins","3.3 km , 13 mins","2.8 km , 35 mins"
RG1 2HS,"4.9 km , 12 mins","3.9 km , 21 mins","3.1 km , 38 mins"
RG1 2HX,"4.3 km , 12 mins","3.1 km , 23 mins","3.1 km , 39 mins"
RG1 2JB,"4.2 km , 11 mins","3.3 km , 13 mins","2.9 km , 37 mins"
RG1 2JF,"4.2 km , 11 mins","3.0 km , 22 mins","3.0 km , 38 mins"
RG1 2JR,"4.2 km , 11 mins","3.1 km , 23 mins","3.1 km , 39 mins"
RG1 2LG,"4.4 km , 12 mins","4.3 km , 18 mins","3.3 km , 41 mins"
RG1 2LR,"4.2 km , 10 mins","3.1 km , 23 mins","3.1 km , 39 mins"
RG1 2NA,"4.6 km , 11 mins","4.1 km , 23 mins","3.2 km , 40 mins"
RG1 2ND,"4.7 km , 11 mins","4.0 km , 22 mins","3.3 km , 41 mins"
RG1 2NF,"4.6 km , 11 mins","4.1 km , 24 mins","3.2 km , 40 mins"
RG1 2NH,"4.7 km , 11 mins","4.9 km , 25 mins","3.3 km , 41 mins"
RG1 2NJ,"4.9 km , 12 mins","3.8 km , 20 mins","3.1 km , 39 mins"
RG1 2NL,"4.4 km , 11 mins","4.0 km , 23 mins","3.0 km , 37 mins"
RG1 2NN,"4.4 km , 11 mins","5.0 km , 26 mins","3.0 km , 37 mins"
RG1 2NP,"4.3 km , 11 mins","5.7 km , 24 mins","2.9 km , 36 mins"
RG1 2NQ,"4.9 km , 12 mins","3.9 km , 21 mins","3.1 km , 39 mins"
RG1 2NR,"4.3 km , 10 mins","5.7 km , 24 mins","2.9 km , 36 mins"
RG1 2NS,"4.4 km , 10 mins","5.7 km , 25 mins","2.9 km , 36 mins"
RG1 2NT,"4.5 km , 11 mins","5.8 km , 26 mins","3.0 km , 37 mins"
RG1 2NU,"4.6 km , 12 mins","6.0 km , 26 mins","3.2 km , 39 mins"
RG1 2NW,"4.4 km , 11 mins","5.0 km , 26 mins","3.0 km , 37 mins"
RG1 2NX,"4.4 km , 10 mins","5.8 km , 25 mins","3.0 km , 37 mins"
RG1 2NY,"4.4 km , 10 mins","5.7 km , 25 mins","2.9 km , 36 mins"
RG1 2NZ,"4.5 km , 11 mins","5.8 km , 26 mins","3.0 km , 38 mins"
RG1 2PJ,"4.4 km , 11 mins","5.8 km , 25 mins","3.0 km , 37 mins"
RG1 2PL,"4.4 km , 11 mins","5.9 km , 25 mins","3.0 km , 37 mins"
RG1 2PN,"4.4 km , 11 mins","5.9 km , 25 mins","3.0 km , 37 mins"
RG1 2PP,"4.5 km , 11 mins","5.9 km , 25 mins","3.1 km , 38 mins"
RG1 2PR,"4.6 km , 11 mins","5.9 km , 25 mins","3.1 km , 38 mins"
RG1 2PS,"4.6 km , 11 mins","5.9 km , 25 mins","3.1 km , 38 mins"
RG1 2PU,"4.7 km , 12 mins","6.1 km , 27 mins","3.3 km , 40 mins"
RG1 2PX,"4.7 km , 12 mins","6.1 km , 27 mins","3.3 km , 40 mins"
RG1 2PY,"4.9 km , 12 mins","4.3 km , 27 mins","3.3 km , 41 mins"
RG1 2PZ,"4.7 km , 12 mins","6.1 km , 27 mins","3.3 km , 40 mins"
RG1 2QA,"4.9 km , 12 mins","4.3 km , 27 mins","3.3 km , 41 mins"
RG1 2QB,"4.6 km , 12 mins","6.0 km , 27 mins","3.2 km , 39 mins"
RG1 2QE,"4.6 km , 11 mins","5.9 km , 25 mins","3.1 km , 39 mins"
RG1 2QF,"4.5 km , 11 mins","5.8 km , 24 mins","3.0 km , 37 mins"
RG1 2QG,"4.5 km , 11 mins","3.9 km , 22 mins","2.8 km , 35 mins"
RG1 2QH,"5.4 km , 12 mins","3.9 km , 22 mins","2.8 km , 35 mins"
RG1 2QL,"6.2 km , 12 mins","3.8 km , 20 mins","3.1 km , 38 mins"
